Codigo do Item,Descrição do Item,Marca,País de Origem,Produtor,Tipo de Vinho,Safra,Preço,Desconto Máximo,Tipo de Garrafa,Estoque Atual,GTIN Un.,GTIN Cod. Barra,DUN Un.,DUN Cod. Barra,Região de Origem,Tipo de Uva,Percentual IPI,UPDATED_AT,Valor em Real,Valor com desconto,col_22
38265,DOPFF AU MOULIN GEWURZTRAMINER TERRES EPICEES VIN D ALSACE 2022 (BCO) (DOPFF AU MOULIN),Mistral,França,DOPFF AU MOULIN,Branco,2022,69.5,35,750ml,609,GF,3179200011301,CAIXA C/6,03179201011300,Alsace,Gewürztraminer,6.5,2026/01/16 08:00:02.963000000,374.2297,339.2297,
36692,VALLONTANO RESERVA TANNAT 2020 (TTO) (VALLONTANO),Mistral,Brasil,VALLONTANO,Tinto,2020,136.5,35,750ml,3552,GF,7898902050024,CAIXA C/6,1789890205021,Serra Gaúcha,Tannat (100%),0,2026/01/16 08:00:02.963000000,734.9979,699.9979,
38657,REGALEALI BIANCO DOC SICILIA 2023 (BCO) (TASCA D ALMERITA),Mistral,Itália,TASCA D'ALMERITA,Branco,2023,33.5,35,750ml,3,GF,8052462546758,CAIXA C/6,8052462544471,Sicília,"Inzolia (33%), Catarratto (27%), Grecanico (30%) e Chardonnay (10%)",6.5,2026/01/16 08:00:02.963000000,180.3841,145.3841,
39197,SALADINI PILASTRI ROSSO PICENO DOC 2023 (TTO) (SALADINI PILASTRI),Mistral,Itália,SALADINI PILASTRI,Tinto,2023,26.9,35,750ml,1518,GF,8018372905030,CAIXA C/12,38018372604576,Marche,"Sangiovese, Montepulciano",6.5,2026/01/16 08:00:02.963000000,144.84573999999998,109.84573999999998,
38928,ROSEROCK PINOT NOIR 2022 (TTO) (DOMAINE DROUHIN OREGON),Mistral,Estados Unidos,DOMAINE DROUHIN OREGON,Tinto,2022,112.9,35,750ml,122,GF,012086009150,CAIXA C/6,10012086009157,Oregon,Pinot Noir (100%),6.5,2026/01/16 08:00:02.963000000,607.92134,572.92134,
39171,ANIMAL CHARDONNAY 2024 (BCO) (TIKAL - ERNESTO CATENA),Mistral,Argentina,TIKAL - ERNESTO CATENA,Branco,2024,32.9,35,750ml,1285,GF,7798126080787,CAIXA C/6,17798126080784,Mendoza,Chardonnay (100%),6.5,2026/01/16 08:00:02.963000000,177.15334,142.15334,
38989,EL ENEMIGO BONARDA 2022 (TTO) (EL ENEMIGO),Mistral,Argentina,EL ENEMIGO,Tinto,2022,49.9,35,750ml,3860,GF,7794450002822,CAIXA C/6,17794450002829,Mendoza,,6.5,2026/01/16 08:00:02.963000000,268.69154,233.69153999999997,
38607,DOMAINE DE VILLAINE BOUZERON AOC ALIGOTE 2022 (BCO) (DOMAINE AUBERT E PAMELA DE VILLAINE),Mistral,França,D. AUBERT & PAMÉLA DE VILLAINE,Branco,2022,139.9,25,750ml,227,GF,0097985151070,CAIXA C/6,20097985151074,Bourgogne,Aligote Dore,6.5,2026/01/16 08:00:02.963000000,753.30554,728.30554,
36727,LOS VASCOS CHAGUAL CABERNET SAUVIGNON ORGANICO 2021,Mistral_Vinci,Chile,VIÑA LOS VASCOS,Tinto,2021,36.9,35,750ml,2003,GF,7804360000846,CAIXA C/6,17804360000843,Valle de Colchagua,Cabernet Sauvignon (100%),6.5,2026/01/16 08:00:02.963000000,198.69173999999998,163.69173999999998,
33740,FALERIO PALAZZI 2020 (BCO) (SALADINI PILASTRI),Mistral,Itália,SALADINI PILASTRI,Branco,2020,28.5,35,750ml,43,GF,8018372012035,,,Marche,"Passerina, Pecorino, Fiano e Chardonnay.",6.5,2026/01/16 08:00:02.963000000,153.4611,118.46109999999999,
